direction,hub,n,mean_minutes,median_minutes,p90_minutes,min_minutes,max_minutes,midnight_count,long_6h_count,night_overlap_count,flight_dates
All,EWR,156,134.96153846153845,114.0,226.0,35.0,454.0,0,3,13,10
All,ORD,130,116.96923076923076,90.5,178.0,37.0,477.0,0,3,20,10
All,DEN,64,149.609375,98.5,301.10000000000025,44.0,464.0,0,5,15,10
All,MSP,62,146.29032258064515,93.0,358.09999999999997,31.0,480.0,4,7,5,10
All,JFK,56,133.89285714285714,101.0,225.0,51.0,426.0,0,2,0,9
All,DFW,41,115.04878048780488,85.0,198.0,50.0,234.0,0,0,0,9
All,SFO,37,167.13513513513513,115.0,432.0,44.0,479.0,6,6,9,9
All,IAD,34,120.6470588235294,76.0,205.0,45.0,405.0,0,1,17,8
All,SLC,32,154.25,104.5,351.0,51.0,469.0,0,3,10,10
All,PHL,29,132.89655172413794,86.0,207.0,42.0,414.0,2,2,2,9
All,SEA,27,155.07407407407408,103.0,354.00000000000017,65.0,479.0,1,3,6,9
All,DTW,26,111.92307692307692,113.0,199.0,60.0,283.0,0,0,9,8
All,CLT,25,87.64,78.0,138.2000000000001,53.0,198.0,0,0,0,7
All,PDX,18,225.0,173.0,414.0,55.0,439.0,4,5,4,6
All,FLL,15,214.4,151.0,445.0,57.0,466.0,0,4,5,9
All,PHX,10,101.8,63.0,233.0,36.0,233.0,0,0,0,5
All,DCA,10,67.2,71.0,73.3,49.0,85.0,0,0,0,7
All,IAH,9,111.33333333333333,97.0,165.8,59.0,181.0,0,0,3,7
All,MIA,9,103.11111111111111,91.0,175.6,45.0,194.0,0,0,1,4
All,ATL,8,181.375,120.5,349.0,51.0,349.0,0,0,4,6
All,LAS,7,220.0,119.0,551.0,35.0,551.0,0,2,6,4
All,IND,6,251.0,216.0,447.0,90.0,447.0,0,2,5,4
All,AUS,6,315.3333333333333,371.0,419.0,156.0,467.0,4,4,4,5
All,STL,5,58.2,41.0,84.0,41.0,84.0,0,0,0,5
All,CVG,4,84.0,84.0,84.0,84.0,84.0,0,0,4,4
All,MCI,2,409.0,409.0,409.0,409.0,409.0,0,2,2,2
BOS-LAX,EWR,96,149.25,117.5,283.5,61.0,454.0,0,3,0,10
BOS-LAX,ORD,75,119.37333333333333,85.0,191.40000000000003,37.0,471.0,0,2,0,9
BOS-LAX,MSP,35,118.88571428571429,80.0,198.0,31.0,413.0,0,1,0,9
BOS-LAX,JFK,27,123.4074074074074,80.0,220.0,51.0,426.0,0,1,0,5
BOS-LAX,DEN,19,123.26315789473684,98.0,181.99999999999997,74.0,226.0,0,0,0,6
BOS-LAX,CLT,18,95.83333333333333,87.5,176.3,55.0,198.0,0,0,0,5
BOS-LAX,DFW,18,87.55555555555556,67.5,166.0,50.0,210.0,0,0,0,7
BOS-LAX,PHL,15,91.4,65.0,166.99999999999997,47.0,195.0,0,0,0,5
BOS-LAX,IAD,14,89.35714285714286,75.0,81.9,45.0,345.0,0,0,7,8
BOS-LAX,DTW,9,119.44444444444444,113.0,136.20000000000002,74.0,193.0,0,0,0,7
BOS-LAX,PDX,9,322.3333333333333,414.0,419.0,149.0,439.0,4,5,4,5
BOS-LAX,SFO,8,360.75,432.0,479.0,100.0,479.0,6,6,6,6
BOS-LAX,DCA,8,69.625,71.0,75.89999999999999,49.0,85.0,0,0,0,6
BOS-LAX,FLL,8,120.375,57.0,309.5,57.0,313.0,0,0,0,8
BOS-LAX,SLC,7,146.14285714285714,119.0,218.2000000000001,90.0,367.0,0,1,2,6
BOS-LAX,MIA,4,96.75,74.0,163.70000000000002,45.0,194.0,0,0,0,3
BOS-LAX,AUS,4,395.0,371.0,438.20000000000005,371.0,467.0,4,4,4,3
BOS-LAX,PHX,3,66.0,36.0,108.0,36.0,126.0,0,0,0,2
BOS-LAX,IAH,3,71.66666666666667,59.0,89.4,59.0,97.0,0,0,0,3
BOS-LAX,IND,1,212.0,212.0,212.0,212.0,212.0,0,0,0,1
BOS-LAX,LAS,1,35.0,35.0,35.0,35.0,35.0,0,0,0,1
BOS-LAX,ATL,1,122.0,122.0,122.0,122.0,122.0,0,0,0,1
LAX-BOS,EWR,60,112.1,96.0,209.20000000000002,35.0,345.0,0,0,13,9
LAX-BOS,ORD,55,113.69090909090909,98.0,172.6,58.0,477.0,0,1,20,10
LAX-BOS,DEN,45,160.73333333333332,99.0,347.6,44.0,464.0,0,5,15,10
LAX-BOS,JFK,29,143.6551724137931,112.0,245.79999999999998,59.0,422.0,0,1,0,7
LAX-BOS,SFO,29,113.72413793103448,115.0,208.6,44.0,289.0,0,0,3,9
LAX-BOS,MSP,27,181.8148148148148,96.0,459.0,59.0,480.0,4,6,5,9
LAX-BOS,SEA,27,155.07407407407408,103.0,354.00000000000017,65.0,479.0,1,3,6,9
LAX-BOS,SLC,25,156.52,71.0,351.0,51.0,469.0,0,2,8,10
LAX-BOS,DFW,23,136.56521739130434,140.0,198.0,64.0,234.0,0,0,0,6
LAX-BOS,IAD,20,142.55,129.5,205.0,58.0,405.0,0,1,10,5
LAX-BOS,DTW,17,107.94117647058823,72.0,207.0,60.0,283.0,0,0,9,6
LAX-BOS,PHL,14,177.35714285714286,152.0,351.9000000000002,42.0,414.0,2,2,2,7
LAX-BOS,PDX,9,127.66666666666667,115.0,180.4,55.0,210.0,0,0,0,6
LAX-BOS,CLT,7,66.57142857142857,63.0,78.0,53.0,78.0,0,0,0,6
LAX-BOS,PHX,7,117.14285714285714,83.0,233.0,43.0,233.0,0,0,0,5
LAX-BOS,ATL,7,189.85714285714286,119.0,349.0,51.0,349.0,0,0,4,6
LAX-BOS,FLL,7,321.85714285714283,445.0,453.40000000000003,122.0,466.0,0,4,5,5
LAX-BOS,IAH,6,131.16666666666666,152.0,171.5,70.0,181.0,0,0,3,4
LAX-BOS,LAS,6,250.83333333333334,161.5,551.0,40.0,551.0,0,2,6,4
LAX-BOS,MIA,5,108.2,91.0,152.6,63.0,171.0,0,0,1,2
LAX-BOS,STL,5,58.2,41.0,84.0,41.0,84.0,0,0,0,5
LAX-BOS,IND,5,258.8,220.0,447.0,90.0,447.0,0,2,5,3
LAX-BOS,CVG,4,84.0,84.0,84.0,84.0,84.0,0,0,4,4
LAX-BOS,AUS,2,156.0,156.0,156.0,156.0,156.0,0,0,0,2
LAX-BOS,DCA,2,57.5,57.5,59.5,55.0,60.0,0,0,0,2
LAX-BOS,MCI,2,409.0,409.0,409.0,409.0,409.0,0,2,2,2
