legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
a3bf6aac3e22276a3fe22cf236121111,2022-04-16,2022-04-17,BOS,LAX,G0AZZNN1,PT8H18M,0,False,False,False,267.91,311.60,2,2643,1650227700||1650252900,2022-04-17T16:35:00.000-04:00||2022-04-17T20:35:00.000-07:00,1650249000||1650257580,2022-04-17T19:30:00.000-07:00||2022-04-17T21:53:00.000-07:00,PHX||ONT,BOS||PHX,American Airlines||American Airlines,AA||AA,||Canadair Regional Jet 900,21300||4680,2296||347,coach||coach
d0e4131db8cd6c4166485300b73755f5,2022-04-16,2022-04-17,BOS,LAX,LA0NA0BC,PT8H57M,0,True,False,False,267.91,311.60,9,2674,1650231900||1650257940,2022-04-17T17:45:00.000-04:00||2022-04-17T22:59:00.000-06:00,1650251820||1650264120,2022-04-17T21:17:00.000-06:00||2022-04-17T23:42:00.000-07:00,SLC||ONT,BOS||SLC,Delta||Delta,DL||DL,Boeing 737-800||Boeing 737-800,19920||6180,2100||574,coach||coach
880d856835bf139ed78c92bda89fca2a,2022-04-16,2022-04-17,BOS,LAX,WAA0PFEN,PT9H9M,1,False,False,False,267.91,311.60,3,3049,1650233760||1650261720,2022-04-17T18:16:00.000-04:00||2022-04-17T23:02:00.000-07:00,1650258000||1650266700,2022-04-17T22:00:00.000-07:00||2022-04-18T00:25:00.000-07:00,SFO||ONT,BOS||SFO,United||United,UA||UA,Boeing 737 MAX 9||Boeing 737-800,24240||4980,2698||351,coach||coach
e7277d288a41825696e972fc4c5e4e84,2022-04-16,2022-04-17,BOS,LAX,LA0NA0BC,PT9H10M,0,True,False,False,267.91,311.60,9,2674,1650189900||1650216600,2022-04-17T06:05:00.000-04:00||2022-04-17T11:30:00.000-06:00,1650209700||1650222900,2022-04-17T09:35:00.000-06:00||2022-04-17T12:15:00.000-07:00,SLC||ONT,BOS||SLC,Delta||Delta,DL||DL,Boeing 737-900||Boeing 737-800,19800||6300,2100||574,coach||coach
f9ed706fc3fde426f5a95f4f82530ae6,2022-04-16,2022-04-17,BOS,LAX,VH0ABEL1,PT6H18M,0,False,False,True,315.35,353.60,7,2606,1650189720,2022-04-17T06:02:00.000-04:00,1650212400,2022-04-17T09:20:00.000-07:00,LAX,BOS,JetBlue Airways,B6,Airbus A319-321,22680,2606,coach
7e85b88ccf4840736e02157679ec6664,2022-04-16,2022-04-17,BOS,LAX,VAA0PFEN,PT6H23M,0,False,False,True,315.35,353.60,2,2606,1650231840,2022-04-17T17:44:00.000-04:00,1650254820,2022-04-17T21:07:00.000-07:00,LAX,BOS,United,UA,Boeing 737-800,22980,2606,coach
1f1f3fadfaa1352c09dc717ab1fc3c7e,2022-04-16,2022-04-17,BOS,LAX,VH0ABEL1,PT6H25M,0,False,False,True,315.35,353.60,7,2606,1650229200,2022-04-17T17:00:00.000-04:00,1650252300,2022-04-17T20:25:00.000-07:00,LAX,BOS,JetBlue Airways,B6,Airbus A319-321,23100,2606,coach
4813a50818f19a29ebd9c80bb8312e0a,2022-04-16,2022-04-17,BOS,LAX,VAA0PFEN,PT6H27M,0,False,False,True,315.35,353.60,9,2606,1650189300,2022-04-17T05:55:00.000-04:00,1650212520,2022-04-17T09:22:00.000-07:00,LAX,BOS,United,UA,Boeing 737 MAX 9,23220,2606,coach
4ae2a3e4dd849f46caf38b523d49f22e,2022-04-16,2022-04-17,BOS,LAX,VH0ABEL1,PT6H28M,0,False,False,True,315.35,353.60,7,2606,1650237540,2022-04-17T19:19:00.000-04:00,1650260820,2022-04-17T22:47:00.000-07:00,LAX,BOS,JetBlue Airways,B6,Airbus A319-321,23280,2606,coach
5a618be679cd5254e4263949d12be3d7,2022-04-16,2022-04-17,BOS,LAX,L0AZZNN1,PT6H35M,0,False,False,True,315.35,353.60,2,2606,1650232800,2022-04-17T18:00:00.000-04:00,1650256500,2022-04-17T21:35:00.000-07:00,LAX,BOS,American Airlines,AA,AIRBUS INDUSTRIE A321 SHARKLETS,23700,2606,coach
